"","Site.Name","Date","Month","Year","COUNTY","meanlat","meanlong","PM2.5","Ozone"
"66","Bryson City",2018-03-07,3,2018,"Swain",35.434767,-83.442133,23,38
"67","Bryson City",2018-03-08,3,2018,"Swain",35.434767,-83.442133,24,39
"68","Bryson City",2018-03-09,3,2018,"Swain",35.434767,-83.442133,35,44
"69","Bryson City",2018-03-10,3,2018,"Swain",35.434767,-83.442133,62,31
"70","Bryson City",2018-03-11,3,2018,"Swain",35.434767,-83.442133,54,33
"71","Bryson City",2018-03-12,3,2018,"Swain",35.434767,-83.442133,15,44
"72","Bryson City",2018-03-13,3,2018,"Swain",35.434767,-83.442133,35,43
"73","Bryson City",2018-03-14,3,2018,"Swain",35.434767,-83.442133,22,44
"74","Bryson City",2018-03-15,3,2018,"Swain",35.434767,-83.442133,46,61
"75","Bryson City",2018-03-16,3,2018,"Swain",35.434767,-83.442133,66,64
"76","Bryson City",2018-03-17,3,2018,"Swain",35.434767,-83.442133,62,44
"77","Bryson City",2018-03-18,3,2018,"Swain",35.434767,-83.442133,37,41
"78","Bryson City",2018-03-19,3,2018,"Swain",35.434767,-83.442133,36,37
"79","Bryson City",2018-03-20,3,2018,"Swain",35.434767,-83.442133,15,36
"80","Bryson City",2018-03-21,3,2018,"Swain",35.434767,-83.442133,19,35
"81","Bryson City",2018-03-22,3,2018,"Swain",35.434767,-83.442133,29,44
"82","Bryson City",2018-03-23,3,2018,"Swain",35.434767,-83.442133,31,43
"83","Bryson City",2018-03-24,3,2018,"Swain",35.434767,-83.442133,46,31
"84","Bryson City",2018-03-25,3,2018,"Swain",35.434767,-83.442133,40,42
"85","Bryson City",2018-03-26,3,2018,"Swain",35.434767,-83.442133,24,44
"86","Bryson City",2018-03-27,3,2018,"Swain",35.434767,-83.442133,33,35
"87","Bryson City",2018-03-28,3,2018,"Swain",35.434767,-83.442133,49,35
"88","Bryson City",2018-03-29,3,2018,"Swain",35.434767,-83.442133,38,44
"89","Bryson City",2018-03-30,3,2018,"Swain",35.434767,-83.442133,13,39
"90","Bryson City",2018-03-31,3,2018,"Swain",35.434767,-83.442133,20,44
